id_parcours,Date_Reservation,Client_Prenom,Client_Nom,Age_client,Cat_CSP,Transport_ID,Ville_départ,Ville_dépose,Distance_(km),Date_Prise_véhicule,Date_Restitution_véhicule,Conducteur,Catégorie_véhicule,Modèle_véhicule,Immatriculation,Sinistre,Type_sinistre,Assurance
3455,2009-03-02,William,Kennedy,10,Non Cadre,83,Paris,LeMans,274,2017-06-27,1992-10-25,Mrs. Brianna Crawford,Berline,Honda,XX0YY,0,NON RESPONSABLE,ALLIANZ
3924,2002-11-18,Craig,Phillips,31,Non Cadre,31,Lyon,Clermont,289,2009-04-17,2001-12-05,Sandra Harding,Berline,Fiat,XX50YY,0,NON RESPONSABLE,GROUPAMA
2835,1996-08-24,Crystal,Carlson,56,Non Cadre,87,Amiens,LeMans,166,1996-01-02,2007-02-01,Catherine Abbott,Citadine,Fiat,XX35YY,1,RESPONSABLE,ALLIANZ
3103,2007-08-11,Willie,Frazier,11,Non Cadre,80,Lyon,Nice,993,1992-03-10,2000-05-09,Michael Burke,Citadine,Mazda,XX33YY,1,NON RESPONSABLE,AXA
2043,2007-03-10,Lisa,Turner,25,Cadre,80,Lyon,LeHavre,219,2005-05-01,2021-07-31,Calvin Lee,Berline,Dacia,XX75YY,0,NON RESPONSABLE,AXA
1114,2017-09-16,Deanna,Mckenzie,29,Cadre,75,Lyon,Bordeaux,792,2011-09-25,2009-05-24,Blake Garcia,Berline,Fiat,XX91YY,1,NON RESPONSABLE,GENERALI
1342,2021-06-10,Sandra,Hernandez,4,Non Cadre,66,Strasbourg,LeMans,831,2012-05-25,2009-08-10,Susan Hoffman,Electrique,Kia,XX88YY,0,NON RESPONSABLE,GROUPAMA
4998,1997-05-04,Kevin,Anderson,55,Cadre,0,Lille,Nice,847,2013-02-20,2006-03-10,Michelle Woods,Citadine,Hyundai,XX60YY,0,NON RESPONSABLE,GROUPAMA
739,2016-10-03,Jennifer,Duke,18,Cadre,92,Strasbourg,LeMans,745,2017-05-12,2012-09-27,Scott Arellano,Electrique,Audi,XX33YY,0,NON RESPONSABLE,GROUPAMA
2972,2013-12-24,Brandy,Avery,51,Non Cadre,91,Lille,Clermont,406,1994-09-23,2016-05-09,Barbara Bond,Electrique,Kia,XX53YY,0,NON RESPONSABLE,ALLIANZ
3667,1997-07-06,Gloria,Hoover,46,Cadre,19,Lyon,Bordeaux,964,2002-09-03,1994-11-18,Robert Brown,Citadine,Fiat,XX39YY,1,NON RESPONSABLE,GENERALI
3378,2009-06-03,Zachary,Matthews,48,Non Cadre,46,Paris,Marseille,346,2004-01-29,1995-10-15,Patricia Arnold,Electrique,Honda,XX44YY,0,NON RESPONSABLE,GROUPAMA
2548,2016-03-19,Mark,Thomas,3,Non Cadre,77,Lyon,LeHavre,50,2010-10-21,2013-09-12,Kimberly Davis,Berline,Audi,XX92YY,1,RESPONSABLE,ALLIANZ
4406,2019-07-03,Heather,Mayer,99,Cadre,5,Lille,Bordeaux,349,1999-03-25,1995-01-21,Michele Bryant,Berline,Fiat,XX68YY,0,NON RESPONSABLE,ALLIANZ
4530,1996-04-14,Christina,Taylor,51,Cadre,25,Strasbourg,LeMans,45,1996-03-08,2001-08-13,Teresa Mejia,Citadine,Kia,XX56YY,1,NON RESPONSABLE,GENERALI
91,2017-09-11,Michael,Lewis,59,Cadre,68,Lille,Bordeaux,451,1993-06-17,2001-09-17,Willie Bruce,Citadine,Mazda,XX33YY,1,RESPONSABLE,ALLIANZ
1132,1994-07-20,Thomas,Collier,89,Non Cadre,77,Amiens,LeMans,253,2010-08-09,2007-08-21,Sherri Lambert,Electrique,Mazda,XX30YY,1,RESPONSABLE,GROUPAMA
4325,2018-10-21,Warren,Rice,54,Cadre,62,Lille,Nice,238,1994-06-05,2006-07-01,Sarah Oconnor,Citadine,Honda,XX90YY,0,RESPONSABLE,GENERALI
4844,2007-01-13,Ashley,Jackson,3,Non Cadre,59,Lyon,Bordeaux,345,2009-02-27,2013-01-07,Jennifer Valdez,Electrique,Fiat,XX7YY,1,RESPONSABLE,ALLIANZ
3078,1998-11-15,Ian,Myers,70,Cadre,42,Lille,Bordeaux,8,2002-10-18,2008-06-24,Laura Smith,Citadine,Fiat,XX27YY,0,NON RESPONSABLE,GENERALI
3321,2018-02-28,Patrick,Garza Jr.,28,Non Cadre,82,Strasbourg,LeHavre,134,2014-08-28,2005-12-07,Kathy Rogers,Electrique,Hyundai,XX40YY,1,NON RESPONSABLE,ALLIANZ
459,2003-03-26,Abigail,Burns,70,Non Cadre,75,Lille,LeMans,340,2016-12-29,2000-04-23,Debra Kelley,Electrique,Kia,XX84YY,1,NON RESPONSABLE,AXA
502,2008-02-23,Mary,Lynn,19,Cadre,57,Lyon,Bordeaux,587,2016-04-07,2021-02-22,Gregory Jennings,Berline,Dacia,XX6YY,0,NON RESPONSABLE,GENERALI
4846,2014-08-01,Laura,King,5,Cadre,32,Lille,Clermont,663,2006-02-21,1991-10-31,Scott English,Electrique,Hyundai,XX91YY,1,RESPONSABLE,GENERALI
4872,2002-12-13,Matthew,Smith,56,Cadre,54,Paris,LeMans,218,2010-02-21,1997-10-17,Sarah Smith,Citadine,Fiat,XX72YY,0,NON RESPONSABLE,GROUPAMA
4898,1998-02-05,Jeffrey,White,0,Non Cadre,40,Lyon,Nice,684,2006-04-04,2002-01-09,Gail Mann,Citadine,Honda,XX75YY,0,RESPONSABLE,GENERALI
865,1993-04-04,Devin,Casey,46,Cadre,5,Paris,Bordeaux,246,1992-02-06,1999-01-29,Chris Kaiser,Berline,Fiat,XX51YY,1,RESPONSABLE,ALLIANZ
1977,1991-12-16,Kellie,Rodgers,96,Non Cadre,33,Strasbourg,Marseille,330,1992-11-23,2010-01-29,Kimberly Rodriguez,Berline,Hyundai,XX24YY,1,NON RESPONSABLE,GENERALI
1655,2010-04-03,Wayne,Ortega,79,Cadre,31,Amiens,LeHavre,416,2017-11-24,2017-06-08,Brian Mueller,Citadine,Honda,XX2YY,0,NON RESPONSABLE,GENERALI
4832,2007-10-26,Rose,Kemp,87,Cadre,19,Strasbourg,Nice,163,2017-05-04,1993-06-26,Jeffrey Smith,Citadine,Kia,XX7YY,1,NON RESPONSABLE,ALLIANZ
349,2016-05-18,Andrea,Woodward,74,Non Cadre,30,Amiens,LeHavre,195,2020-11-14,2016-07-26,Carlos Parrish,Electrique,Fiat,XX46YY,0,NON RESPONSABLE,ALLIANZ
1725,2012-07-26,Dale,Meyer,47,Cadre,74,Amiens,LeMans,527,2019-10-01,2021-02-23,Emily Wells,Berline,Honda,XX5YY,1,NON RESPONSABLE,ALLIANZ
3788,1995-03-05,Jessica,Garcia,50,Non Cadre,64,Amiens,Marseille,478,2020-04-12,2012-07-12,Anthony Travis,Electrique,Hyundai,XX20YY,0,RESPONSABLE,ALLIANZ
2715,1991-10-31,Jennifer,Boyd,60,Cadre,17,Amiens,LeMans,403,2009-11-28,2003-07-09,Colleen Bush,Electrique,Kia,XX99YY,1,NON RESPONSABLE,ALLIANZ
2443,2010-08-06,Reginald,Blake,75,Cadre,58,Paris,LeMans,160,2006-07-08,2014-03-07,William Smith,Electrique,Kia,XX8YY,0,RESPONSABLE,GROUPAMA
3951,2021-01-18,James,Estrada,5,Non Cadre,55,Strasbourg,Marseille,614,2011-11-18,1996-01-09,Jeffrey Frost,Berline,Dacia,XX10YY,0,RESPONSABLE,GROUPAMA
696,2013-04-15,Cynthia,Sanders,11,Non Cadre,39,Lyon,Nice,483,2016-12-30,2002-01-13,Glenn Thomas,Berline,Honda,XX81YY,0,NON RESPONSABLE,GENERALI
1266,2016-01-02,Mark,Smith,99,Non Cadre,13,Lyon,Marseille,892,2014-09-21,1991-09-14,Lucas Smith,Citadine,Fiat,XX44YY,1,RESPONSABLE,AXA
3673,2002-12-18,Alexandra,Taylor,47,Non Cadre,27,Paris,Marseille,976,2016-11-23,1993-02-15,Michael Hobbs,Citadine,Kia,XX53YY,1,NON RESPONSABLE,ALLIANZ
3492,2014-01-24,Gabrielle,Jackson,40,Non Cadre,65,Nantes,Bordeaux,514,2018-12-10,2006-07-31,Nicole Cooper,Berline,Kia,XX36YY,1,RESPONSABLE,GENERALI
3711,2001-09-20,Matthew,King,97,Cadre,39,Amiens,Marseille,698,2009-11-04,1999-02-18,Lauren West,Citadine,Mazda,XX83YY,1,NON RESPONSABLE,GENERALI
28,2008-03-16,William,Watson,65,Cadre,9,Nantes,Clermont,302,2013-01-09,2003-09-10,Martha Kim,Citadine,Audi,XX50YY,0,RESPONSABLE,AXA
1193,2008-09-27,Crystal,Burns,97,Cadre,37,Lyon,Nice,528,2009-02-17,2013-02-05,Courtney Luna DDS,Electrique,Honda,XX23YY,0,NON RESPONSABLE,AXA
379,2020-02-07,Lisa,Livingston,19,Non Cadre,30,Lille,LeHavre,426,2020-11-22,2020-07-29,Thomas Mitchell,Electrique,Audi,XX28YY,0,RESPONSABLE,ALLIANZ
1512,1995-05-16,Christopher,Mejia,49,Cadre,46,Paris,LeMans,521,2005-01-16,1992-08-08,Kara Anderson,Electrique,Audi,XX87YY,0,RESPONSABLE,AXA
2444,2021-09-11,William,Patel,24,Cadre,75,Nantes,Bordeaux,572,2016-07-06,2012-01-30,Jenny Mcconnell,Citadine,Kia,XX5YY,0,RESPONSABLE,AXA
1185,2012-05-08,Dennis,Martinez,89,Cadre,33,Amiens,Marseille,856,2005-11-01,2009-10-09,Jamie Rodriguez,Electrique,Audi,XX79YY,0,NON RESPONSABLE,ALLIANZ
1050,2018-07-11,Mark,Brown,72,Non Cadre,83,Strasbourg,Bordeaux,185,2010-07-15,1992-09-01,Steven Garrison,Citadine,Hyundai,XX94YY,1,RESPONSABLE,GROUPAMA
4005,2007-09-06,David,Cervantes,20,Non Cadre,37,Paris,LeMans,624,2007-02-25,2005-05-30,Marvin Snyder,Electrique,Fiat,XX52YY,0,RESPONSABLE,ALLIANZ
3498,2013-01-26,Katrina,Smith,54,Cadre,37,Nantes,Clermont,749,1998-04-10,1996-03-04,Debbie Simmons,Berline,Honda,XX61YY,0,NON RESPONSABLE,GENERALI
